This is Dataplot data file     SERUM.DAT
Concentration of a drug in human serum after injection in bloodstream
Question: Is there a non-linear relationship?
   
Source--Graybill and Iyer (1994). Regression Analysis: Concepts and 
        Applications.  Duxbury Press.
        Page 622 (Chapter 9)
Number of observations = 9
Number of variables per line image = 2
Order of variables on a line image--
   1. Y  = Response Variable = Drug Concentration (in milligram/liter)
   2. X  = Independent Variable = Time After Injection (in hours)









To read this file into Dataplot--
   SKIP 25
   READ SERUM.DAT Y X
---------------------
   67   0.0
   70   0.5
   82   1.0
   85   2.0
  104   4.0
  129   8.0
  171  16.0
  162  24.0
   18  48.0
