This is Dataplot data file     LIGHT.DAT
Optical reading as function of chemical concentration
Question: Is there a non-linear relationship?
   
Source--Graybill and Iyer (1994). Regression Analysis: Concepts and 
        Applications.  Duxbury Press.
        Page 608 (Chapter 9)
Number of observations = 12
Number of variables per line image = 2
Order of variables on a line image--
   1. Y  = Response Variable = Optical reading
   2. X  = Independent Variable = Concentration (milligrams/liter)









To read this file into Dataplot--
   SKIP 25
   READ LIGHT.DAT Y X
---------------------
  2.86  0
  2.64  0
  1.57  1
  1.24  1
  0.45  2
  1.02  2
  0.65  3
  0.18  3
  0.15  4
  0.01  4
  0.04  5
  0.36  5
